Item,Date,Date paiement,Paiement complet (2 parties),Total,Répartition,Prorata appliqué (base RDC),Charge RDC,Charge 1er,Notes,Devis/Factures
Entretien pompe relevage,24/03/2025,,TRUE,"346,50 €",50/50,,"173,25 €","173,25 €",,Facture 25141636 C5004680 MR FREVILLE - maintenance 2025.pdf
Eau ouverture du compte,19/04/2025,08/04/2025,TRUE,"65,49 €",50/50,,"32,75 €","32,75 €",Frais d'ouverture du point d'eau,eau_mars_2025.pdf
Plantation haie mitoyenne,07/04/2025,07/04/2025,TRUE,"292,50 €",50/50,,"146,25 €","146,25 €",Achat & paiement fait en commun à la pépinière en direct,
Eau Janvier à Mai 2025,30/05/2025,06/06/2025,TRUE,"564,48 €",prorata,"60,00","338,69 €","225,79 €",,eau_janvier_mai_2025.pdf
Electricité souscription,,,TRUE,"31,00 €",50/50,,"15,50 €","15,50 €",,
Electricité mars,,,TRUE,"37,00 €",50/50,,"18,50 €","18,50 €",,
Electricité avril,,,TRUE,"37,00 €",50/50,,"18,50 €","18,50 €",,
Electricité mai,,,TRUE,"37,00 €",50/50,,"18,50 €","18,50 €",,
Electricité juin,,,TRUE,"37,00 €",50/50,,"18,50 €","18,50 €",,"133,29"
Eau été,,,TRUE,"254,93 €",prorata,"50,00","127,47 €","127,47 €",,
Taxe foncière,,,TRUE,"2 522,00 €",tantieme,,"1 311,44 €","1 210,56 €",,
Electricité juillet,,,TRUE,"37,00 €",50/50,,"18,50 €","18,50 €",,
Electricité aout,,,TRUE,"37,00 €",50/50,,"18,50 €","18,50 €",,
Electricité septembre,,,TRUE,"37,00 €",50/50,,"18,50 €","18,50 €",,
Electricité octobre,,,TRUE,"37,00 €",50/50,,"18,50 €","18,50 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
,,,FALSE,,,,"0,00 €","0,00 €",,
